pressure_loss_supply_kW,pressure_loss_return_kW,pressure_loss_substations_kW,pressure_loss_total_kW
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017563943,0.017563943,0.031568043,0.06669593
0.017549908,0.017549908,0.031559326,0.06665914
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017549908,0.017549908,0.031559326,0.06665914
0.017535886,0.017535886,0.031551674,0.06662345
0.017507847,0.017507847,0.0315353,0.066551
0.017507851,0.017507851,0.0315353,0.066551
0.01753588,0.01753588,0.031551674,0.066623434
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017535886,0.017535886,0.031551674,0.06662345
0.01752186,0.01752186,0.031542957,0.06658667
0.01752186,0.01752186,0.031542957,0.06658667
0.017535886,0.017535886,0.031551674,0.06662345
0.017549908,0.017549908,0.031559326,0.06665914
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017549908,0.017549908,0.031559326,0.06665914
0.017535886,0.017535886,0.031551674,0.06662345
0.017535886,0.017535886,0.031551674,0.06662345
0.01752186,0.01752186,0.031542957,0.06658667
0.01752186,0.01752186,0.031542957,0.06658667
0.017493838,0.017493838,0.031526588,0.06651427
0.017493844,0.017493844,0.03152658,0.06651427
0.017479757,0.017479757,0.031517826,0.06647734
0.017479757,0.017479757,0.031517826,0.06647734
0.017465761,0.017465761,0.031510167,0.066441685
0.017465761,0.017465761,0.031510167,0.066441685
0.017507842,0.017507842,0.0315353,0.066550985
0.01753588,0.01753588,0.031551674,0.066623434
0.017563943,0.017563943,0.031568043,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017563948,0.017563948,0.031568035,0.06669593
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620247,0.017620247,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.0176484,0.0176484,0.03161822,0.06691502
0.017648406,0.017648406,0.03161821,0.06691502
0.017662484,0.017662484,0.031625856,0.06695083
0.017690767,0.017690767,0.031643305,0.06702484
0.017690767,0.017690767,0.031643305,0.06702484
0.017690767,0.017690767,0.031643305,0.06702484
0.017690767,0.017690767,0.031643305,0.06702484
0.017676584,0.017676584,0.031634565,0.06698774
0.017662484,0.017662484,0.031625856,0.06695083
0.017662484,0.017662484,0.031625856,0.06695083
0.0176484,0.0176484,0.03161822,0.06691502
0.017634325,0.017634325,0.031609505,0.066878155
0.017620249,0.017620249,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017563943,0.017563943,0.031568043,0.06669593
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017620249,0.017620249,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.0176484,0.0176484,0.03161822,0.06691502
0.017648406,0.017648406,0.03161821,0.06691502
0.017662484,0.017662484,0.031625856,0.06695083
0.017662484,0.017662484,0.031625856,0.06695083
0.0176484,0.0176484,0.03161822,0.06691502
0.017620249,0.017620249,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017620249,0.017620249,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.01759212,0.01759212,0.03158444,0.06676868
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017620247,0.017620247,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017634325,0.017634325,0.031609505,0.066878155
0.017620249,0.017620249,0.031600796,0.06684129
0.017620247,0.017620247,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017620249,0.017620249,0.031600796,0.06684129
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017577989,0.017577989,0.031576756,0.066732734
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017592127,0.017592127,0.031584438,0.06676869
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
0.017606186,0.017606186,0.031593148,0.06680552
